Versão:	V00004	Classificação nacional de profissões, versão 1994	
5	="1.3.1.2.15"	="Director e gerente da produção industrial"	
5	="1.3.1.2.90"	="Outros directores e gerentes de produção industrial"	
4	="1.3.1.3"	="Directores e gerentes da construção civil"	
5	="1.3.1.3.05"	="Director e gerente - construção civil"	
5	="1.3.1.3.90"	="Outros directores e gerentes da construção civil"	
4	="1.3.1.4"	="Directores e gerentes do comércio grossista e retalhista"	
5	="1.3.1.4.05"	="Director e gerente - comércio grossista"	
5	="1.3.1.4.10"	="Director e gerente - comércio retalhista"	
5	="1.3.1.4.90"	="Outros directores e gerentes do comércio grossista e retalhista"	
4	="1.3.1.5"	="Directores e gerentes de restauração e hotelaria"	
5	="1.3.1.5.05"	="Director e gerente de restaurante"	
5	="1.3.1.5.10"	="Director e gerente de pensão ou de residencial"	
5	="1.3.1.5.15"	="Oficial comissário - marinha mercante"	
5	="1.3.1.5.90"	="Outros directores e gerentes de restauração e hotelaria"	
4	="1.3.1.6"	="Directores e gerentes de transportes e telecomunicações"	
5	="1.3.1.6.05"	="Director e gerente de transportes"	
5	="1.3.1.6.10"	="Director e gerente de telecomunicações"	
5	="1.3.1.6.90"	="Outros directores e gerentes de transportes e telecomunicações"	
4	="1.3.1.7"	="Directores e gerentes de empresas de mediação e prestação de serviços"	
5	="1.3.1.7.05"	="Director e gerente de empresa de mediação e serviços"	
5	="1.3.1.7.90"	="Outros directores e gerentes de empresas de mediação e prestação de serviços"	
4	="1.3.1.8"	="Directores e gerentes de empresas de serviços pessoais, de limpeza e similares"	
5	="1.3.1.8.05"	="Director e gerente de empresa de serviços pessoais, de limpeza e serviços similares"	
5	="1.3.1.8.90"	="Outros directores e gerentes de empresas de serviços pessoais, de limpeza e similares"	
4	="1.3.1.9"	="Directores e gerentes não classificados em outra parte"	
5	="1.3.1.9.05"	="Director e gerente de organização sanitária, recreativa, desportiva, cultural e outras"	
5	="1.3.1.9.90"	="Outros directores e gerentes não classificados em outra parte"	
1	="2"	="Especialistas das profissões intelectuais e científicas"	
2	="2.1"	="Especialistas das ciências físicas, matemáticas e engenharia"	
3	="2.1.1"	="Físicos, químicos e especialistas similares"	
4	="2.1.1.1"	="Físicos e astrónomos"	
